id_book,page,start_time,duration,total_pages
28,341,1784763914,88,1966
28,338,1784763510,120,1966
28,339,1784763643,100,1966
28,339,1784763825,5,1966
28,336,1784763313,16,1966
28,336,1784763365,58,1966
28,337,1784763423,87,1966
28,335,1784763244,62,1966
28,949,1784763329,25,1966
28,343,1784764060,93,1966
28,356,1784764950,120,2007
28,353,1784764425,43,2007
28,353,1784764575,120,2007
28,352,1784764218,53,2007
28,352,1784764336,89,2007
28,352,1784764518,8,2007
28,352,1784764527,16,2007
28,352,1784764544,25,2007
28,355,1784764872,78,2007
28,354,1784764701,47,2007
28,354,1784764800,72,2007
28,351,1784764166,52,2007
28,351,1784764271,65,2007
28,351,1784764468,50,2007
28,972,1784764757,27,2007
28,360,1784765656,91,2007
28,362,1784765894,62,2007
28,362,1784765958,120,2007
28,357,1784765165,120,2007
28,359,1784765547,43,2007
28,359,1784765592,56,2007
28,359,1784765651,5,2007
28,358,1784765373,81,2007
28,358,1784765456,91,2007
28,361,1784765747,120,2007
28,363,1784802011,120,2007
28,362,1784801902,109,2007
28,365,1784802276,120,2007
28,364,1784802191,85,2007
28,373,1784803250,24,2007
28,373,1784803294,24,2007
28,373,1784803376,48,2007
28,372,1784803187,63,2007
28,372,1784803342,6,2007
28,369,1784802843,120,2007
28,368,1784802736,101,2007
28,371,1784803087,100,2007
28,371,1784803277,10,2007
28,370,1784802964,85,2007
28,370,1784803051,36,2007
28,370,1784803287,5,2007
28,367,1784802525,15,2007
28,367,1784802612,120,2007
28,366,1784802434,91,2007
28,366,1784802540,72,2007
28,977,1784803318,24,2007
28,977,1784803350,26,2007
28,376,1784803599,104,2007
28,379,1784803937,84,2007
28,378,1784803801,23,2007
28,378,1784803836,101,2007
28,375,1784803493,106,2007
28,374,1784803424,57,2007
28,374,1784803484,9,2007
28,979,1784803824,12,2007
28,377,1784803703,98,2007
28,379,1784812331,8,2007
28,381,1784812411,120,2007
28,381,1784812625,5,2007
28,380,1784812211,120,2007
28,380,1784812339,72,2007
28,383,1784812739,120,2007
28,382,1784812568,41,2007
28,382,1784812613,12,2007
28,382,1784812633,106,2007
28,384,1784812884,120,2007
28,388,1784813882,113,2007
28,389,1784813995,39,2007
28,390,1784814034,120,2007
28,384,1784813422,98,2007
28,385,1784813520,32,2007
28,385,1784813555,10,2007
28,385,1784813566,60,2007
28,387,1784813699,120,2007
28,380,1784813254,68,2007
28,383,1784813354,5,2007
28,383,1784813364,58,2007
28,382,1784813323,31,2007
28,382,1784813359,5,2007
28,386,1784813631,68,2007
28,394,1784815028,103,2007
28,391,1784814221,120,2007
28,391,1784814360,120,2007
28,392,1784814534,120,2007
28,392,1784814866,57,2007
28,393,1784814923,105,2007
28,395,1784815131,92,2007
28,396,1784815223,62,2007
28,397,1784815285,114,2007
28,398,1784815399,107,2007
28,399,1784815506,107,2007
28,400,1784815618,53,2007
28,400,1784815673,80,2007
28,402,1784896036,100,2007
28,403,1784896136,120,2007
28,404,1784896266,86,2007
28,405,1784896352,61,2007
28,406,1784896413,65,2007
28,407,1784896478,92,2007
28,408,1784896570,120,2007
28,401,1784895938,98,2007
28,408,1784897263,120,2007
28,410,1784937106,120,2007
28,411,1784937264,47,2007
28,411,1784937322,26,2007
28,413,1784937314,5,2007
28,408,1784937008,32,2007
28,409,1784936000,120,2007
28,409,1784937040,66,2007
28,557,1784937608,120,2697
28,557,1784937797,19,2697
28,559,1784937877,120,2697
28,560,1784938020,120,2697
28,561,1784938206,81,2697
28,558,1784937790,7,2697
28,558,1784937816,61,2697
28,556,1784937429,120,2697
28,555,1784937350,63,2697
28,555,1784937422,7,2697
28,561,1784938336,120,2697
28,562,1784938287,49,2697
28,562,1784938612,120,2697
28,564,1784938823,63,2697
28,565,1784938886,73,2697
28,563,1784938741,10,2697
28,563,1784938752,71,2697
28,566,1784938959,120,2697
28,566,1784939148,5,2697
28,567,1784939153,62,2697
28,571,1784939610,64,2697
28,571,1784939677,120,2697
28,567,1784939228,8,2697
28,568,1784939215,9,2697
28,568,1784939236,120,2697
28,570,1784939565,45,2697
28,572,1784939909,10,2697
28,572,1784939923,120,2697
28,569,1784939484,81,2697
28,546,1784940980,12,2697
28,435,1784941007,27,2697
28,466,1784940992,15,2697
28,572,1784940973,7,2697
28,577,1784940466,110,2697
28,577,1784940580,23,2697
28,581,1784940783,66,2697
28,581,1784940933,40,2697
28,581,1784941039,11,2697
28,576,1784940401,65,2697
28,573,1784940151,70,2697
28,578,1784940603,70,2697
28,574,1784940221,6,2697
28,574,1784940230,73,2697
28,582,1784940853,45,2697
28,582,1784941050,101,2697
28,580,1784940725,58,2697
28,580,1784940901,28,2697
28,579,1784940673,52,2697
28,575,1784940303,98,2697
28,474,1784941428,23,2697
28,586,1784941294,67,2697
28,585,1784941247,47,2697
28,583,1784941151,42,2697
28,584,1784941193,54,2697
28,587,1784941361,49,2697
28,487,1784941410,18,2697
28,487,1784941453,20,2697
