id_book,page,start_time,duration
11,112,1784111396,48
11,118,1784111670,96
11,121,1784111908,31
11,113,1784111444,52
11,132,1784112556,33
11,126,1784112195,66
11,134,1784112662,120
11,127,1784112261,70
11,133,1784112589,73
11,131,1784112517,39
11,128,1784112331,27
11,128,1784112360,27
11,129,1784112387,66
11,122,1784111939,68
11,130,1784112457,60
11,123,1784112007,6
11,125,1784112051,120
11,124,1784112013,38
11,140,1784113110,120
11,141,1784113318,67
11,142,1784113392,52
11,135,1784112850,85
11,135,1784112945,14
11,144,1784113474,19
11,136,1784112935,10
11,136,1784112959,32
11,137,1784112991,34
11,138,1784113025,12
11,139,1784113037,73
11,143,1784113444,30
11,147,1784289039,73
11,146,1784288954,85
11,145,1784288778,44
11,145,1784288827,120
11,144,1784288822,5
11,150,1784289353,21
11,153,1784289486,39
11,149,1784289271,82
11,152,1784289378,108
11,148,1784289112,120
11,155,1784289635,53
11,156,1784289688,120
11,154,1784289525,110
11,162,1784290160,50
11,161,1784290120,40
11,160,1784290080,24
11,159,1784289982,98
11,159,1784290104,14
11,165,1784290392,120
11,158,1784289910,72
11,164,1784290273,119
11,157,1784289822,79
11,163,1784290210,63
11,170,1784291166,20
11,169,1784291092,74
11,168,1784290907,120
11,167,1784290867,40
11,166,1784290851,7
11,166,1784290859,8
11,173,1784291385,69
11,172,1784291342,43
11,171,1784291186,120
11,178,1784292851,27
11,179,1784292878,43
11,176,1784292811,35
11,177,1784292846,5
11,175,1784292753,58
11,182,1784292990,17
11,174,1784291742,120
11,180,1784292921,31
11,181,1784292958,32
13,1,1784293017,13
14,2,1784293079,5
14,3,1784293084,8
14,4,1784293092,6
14,5,1784293098,9
14,9,1784293114,8
14,9,1784293123,96
14,10,1784293219,100
14,11,1784293319,120
14,12,1784293603,8
15,1,1784293625,5
15,1,1784293639,31
15,4,1784293675,18
15,5,1784293693,57
15,6,1784293750,40
15,7,1784293790,61
15,8,1784293851,44
15,9,1784293895,42
15,10,1784293937,46
15,11,1784293983,37
15,12,1784294020,26
15,13,1784294046,32
15,14,1784294078,8
16,1,1784294110,12
16,2,1784294122,6
16,6,1784294135,5
16,15,1784294156,65
16,62,1784294243,10
16,62,1784294253,14
16,86,1784294276,120
16,87,1784294473,12
16,87,1784294486,5
16,87,1784294506,18
16,101,1784294531,116
17,8,1784341021,5
18,10,1784341092,8
18,14,1784341105,10
19,3,1784341146,47
19,3,1784341194,18
19,4,1784341212,24
19,5,1784341236,6
19,6,1784341242,17
19,7,1784341259,33
19,8,1784341292,10
19,9,1784341302,8
19,10,1784341310,85
19,11,1784341395,48
19,11,1784341495,23
19,12,1784341443,52
19,13,1784341522,54
19,14,1784341576,61
19,15,1784341637,45
19,16,1784341682,19
19,17,1784341701,38
19,18,1784341739,62
19,19,1784341801,43
19,20,1784341844,54
19,21,1784341898,31
19,22,1784341929,56
19,22,1784341987,21
19,23,1784342008,47
19,24,1784342055,19
19,25,1784342074,28
19,26,1784342102,66
19,27,1784342168,48
19,28,1784342216,25
19,28,1784342266,5
19,29,1784342241,25
19,29,1784342271,29
19,30,1784342300,42
19,31,1784342342,50
19,32,1784342392,32
19,33,1784342424,61
19,34,1784342485,15
19,34,1784342505,8
19,35,1784342500,5
19,35,1784342513,18
19,36,1784342531,41
19,37,1784342572,15
19,38,1784342587,13
19,39,1784342600,49
19,40,1784342649,74
19,41,1784342723,64
19,42,1784342787,48
19,43,1784342835,57
19,44,1784342892,37
19,45,1784342929,7
19,46,1784342936,5
19,53,1784342948,36
19,55,1784343030,17
19,58,1784343064,5
19,56,1784343047,12
19,54,1784342984,46
19,63,1784343115,44
19,62,1784343096,6
19,62,1784343103,12
19,57,1784343059,5
19,61,1784343088,8
19,59,1784343069,9
20,1,1784343173,5
20,2,1784343178,6
20,3,1784343184,9
20,7,1784343198,10
20,8,1784343208,14
20,9,1784343222,36
20,10,1784343258,53
20,11,1784343311,19
20,12,1784343330,65
20,13,1784343395,25
20,14,1784343420,40
20,15,1784343460,43
